year,name,wins,losses,Margin_of_Victory,True_Shooting_Percentage,Simple_Rating_System
2021,Brooklyn Nets,48,24,4.50,.610,4.24
2021,Los Angeles Lakers,42,30,2.79,.569,2.77
2021,Dallas Mavericks,42,30,2.26,.582,2.26
2021,New York Knicks,41,31,2.31,.559,2.13
2021,Atlanta Hawks,41,31,2.32,.581,2.14
2021,Portland Trail Blazers,42,30,1.79,.577,1.81
2021,Boston Celtics,36,36,1.46,.574,1.32
2021,Golden State Warriors,39,33,1.06,.583,1.10
2021,Memphis Grizzlies,38,34,1.03,.560,1.07
2021,Miami Heat,40,32,0.03,.581,-0.06
2021,Indiana Pacers,34,38,-0.04,.575,-0.13
2021,New Orleans Pelicans,31,41,-0.29,.570,-0.20
2021,Toronto Raptors,27,45,-0.47,.567,-0.54
2021,Chicago Bulls,31,41,-0.89,.575,-0.94
2021,San Antonio Spurs,33,39,-1.74,.554,-1.58
2021,Washington Wizards,34,38,-1.83,.569,-1.85
2021,Charlotte Hornets,33,39,-1.93,.564,-1.94
2021,Sacramento Kings,31,41,-3.68,.578,-3.45
2021,Detroit Pistons,20,52,-4.47,.556,-4.38
2021,Minnesota Timberwolves,23,49,-5.56,.555,-5.25
2021,Houston Rockets,17,55,-7.90,.553,-7.50
2021,Cleveland Cavaliers,22,50,-8.44,.543,-8.19
2021,Orlando Magic,21,51,-9.31,.527,-9.02
2021,Oklahoma City Thunder,22,50,-10.64,.539,-10.13
2021,League Average,,,0.00,.572,0.00
2022,Boston Celtics,51,31,7.28,.578,7.02
2022,Phoenix Suns,64,18,7.50,.581,6.94
2022,Utah Jazz,49,33,6.04,.589,5.67
2022,Memphis Grizzlies,56,26,5.68,.553,5.37
2022,Golden State Warriors,53,29,5.54,.582,5.52
2022,Miami Heat,53,29,4.45,.584,4.23
2022,Dallas Mavericks,52,30,3.30,.572,3.12
2022,Milwaukee Bucks,51,31,3.35,.580,3.22
2022,Philadelphia 76ers,51,31,2.61,.578,2.57
2022,Minnesota Timberwolves,46,36,2.63,.573,2.53
2022,Denver Nuggets,48,34,2.30,.590,2.16
2022,Toronto Raptors,48,34,2.29,.543,2.38
2022,Cleveland Cavaliers,44,38,2.12,.571,2.04
2022,Atlanta Hawks,43,39,1.56,.581,1.55
2022,Brooklyn Nets,44,38,0.78,.576,0.82
2022,Charlotte Hornets,43,39,0.44,.572,0.53
2022,San Antonio Spurs,34,48,0.12,.556,0.02
2022,Los Angeles Clippers,42,40,0.02,.564,0.09
2022,New York Knicks,37,45,-0.12,.550,-0.01
2022,Chicago Bulls,46,36,-0.39,.579,-0.38
2022,New Orleans Pelicans,36,46,-0.99,.557,-0.84
2022,Los Angeles Lakers,33,49,-3.05,.567,-3.08
2022,Washington Wizards,35,47,-3.38,.568,-3.23
2022,Indiana Pacers,25,57,-3.48,.564,-3.26
2022,Sacramento Kings,30,52,-5.46,.561,-5.26
2022,Detroit Pistons,23,59,-7.72,.533,-7.36
